iter	CrossEntropy
0	0.6927439956
1	0.6922662073
2	0.691687193
3	0.6913566143
4	0.6907083673
5	0.6903483159
6	0.6899382687
7	0.6894663955
8	0.6891447152
9	0.6887324562
10	0.6882115646
11	0.6879387999
12	0.6875018003
13	0.687059297
14	0.686843369
15	0.6865103728
16	0.686232413
17	0.6859705527
18	0.6856794768
19	0.6854362363
20	0.6852381566
21	0.684914316
22	0.68452258
23	0.684303823
24	0.6841096523
25	0.6837866347
26	0.6835152588
27	0.6831366904
28	0.6828641314
29	0.682739245
30	0.6824789277
31	0.6821807537
32	0.6818513066
33	0.6814784475
34	0.6812620566
35	0.681092318
36	0.6807656485
37	0.6805873201
38	0.680388726
39	0.68013741
40	0.6800077915
41	0.6798311091
42	0.6795543324
43	0.6793556868
44	0.6791917605
45	0.6790274228
46	0.6787793987
47	0.678547937
48	0.678270646
49	0.6780832649
50	0.6779295229
51	0.6776949236
52	0.6774722061
53	0.6772493856
54	0.6769739463
55	0.6767242763
56	0.6764924546
57	0.6763151035
58	0.6761438218
59	0.6759852449
60	0.6757890168
61	0.6755989611
62	0.6754666679
63	0.6752422529
64	0.6751086738
65	0.6749201097
66	0.6747880223
67	0.6746340745
68	0.6744314684
69	0.6742536544
70	0.6740021327
71	0.6738110997
72	0.673650311
73	0.673404293
74	0.6732175806
75	0.6730993808
76	0.6729854502
77	0.6728159174
78	0.6726208209
79	0.6724068475
80	0.6721819696
81	0.6719554458
82	0.67182485
83	0.671687979
84	0.6714810008
85	0.6711917252
86	0.6709106793
87	0.6707081246
88	0.6705682189
89	0.6703498219
90	0.6701810092
91	0.6700209406
92	0.669860872
93	0.6696662384
94	0.6694931051
95	0.6693878158
96	0.6692422521
97	0.6690629979
98	0.6688379657
99	0.6685709618
100	0.6683601774
101	0.6681508846
102	0.6680283642
103	0.6679141765
104	0.6676662553
105	0.66755896
106	0.667330173
107	0.6671163024
108	0.6669718703
109	0.6668121618
110	0.6665384712
111	0.6664344677
112	0.6662595856
113	0.6660445834
114	0.6657354535
115	0.6655884496
116	0.6652793711
117	0.6651680124
118	0.6650420972
119	0.6649453977
120	0.6648349133
121	0.6645423972
122	0.6643674122
123	0.6642534302
124	0.6640630144
125	0.6638805197
126	0.6637987366
127	0.6637122213
128	0.6635301382
129	0.6632770734
130	0.6631648916
131	0.6629668633
132	0.6627746987
133	0.6625559931
134	0.662419225
135	0.6622836399
136	0.6621284577
137	0.6619499751
138	0.6617556501
139	0.6616333869
140	0.6614866402
141	0.6613871632
142	0.6611407336
143	0.6609865287
144	0.660849812
145	0.6607762587
146	0.6605994734
147	0.6602908064
148	0.6601854656
149	0.6600767815
150	0.6599645483
151	0.6598617279
152	0.6596641625
153	0.6595994561
154	0.6595755898
