iter	Passed	Remaining
0	48	48002
1	97	48721
2	149	49589
3	200	50033
4	269	53601
5	321	53310
6	379	53884
7	442	54862
8	488	53836
9	539	53451
10	596	53613
11	647	53291
12	693	52658
13	741	52254
14	790	51888
15	836	51444
16	882	51001
17	931	50843
18	978	50516
19	1026	50301
20	1072	49979
21	1118	49741
22	1167	49586
23	1213	49356
24	1259	49135
25	1307	48969
26	1353	48793
27	1402	48693
28	1451	48607
29	1497	48434
30	1544	48280
31	1590	48102
32	1636	47953
33	1690	48022
34	1739	47964
35	1792	48007
36	1840	47906
37	1888	47812
38	1937	47739
39	1989	47746
40	2038	47673
41	2088	47634
42	2138	47598
43	2188	47544
44	2238	47510
45	2285	47401
46	2331	47266
47	2379	47198
48	2425	47074
49	2470	46944
50	2517	46839
51	2562	46712
52	2609	46624
53	2656	46542
54	2702	46426
55	2752	46392
56	2798	46294
57	2848	46259
58	2906	46356
59	2955	46297
60	2999	46174
61	3047	46105
62	3096	46057
63	3144	45983
64	3189	45885
65	3245	45932
66	3291	45830
67	3337	45750
68	3383	45658
69	3431	45587
70	3481	45555
71	3526	45458
72	3574	45393
73	3623	45344
74	3670	45275
75	3718	45205
76	3765	45142
77	3816	45115
78	3864	45050
79	3909	44963
80	3956	44884
81	4002	44803
82	4049	44744
83	4098	44690
84	4147	44649
85	4195	44585
86	4241	44510
87	4289	44457
88	4335	44375
89	4382	44312
90	4427	44225
91	4473	44149
92	4522	44106
93	4570	44053
94	4616	43978
95	4663	43911
96	4708	43830
97	4756	43779
98	4803	43714
99	4849	43648
100	4896	43588
101	4943	43526
102	4990	43461
103	5040	43421
104	5087	43363
105	5132	43285
106	5179	43225
107	5226	43165
108	5274	43115
109	5320	43046
110	5366	42976
111	5411	42905
112	5461	42872
113	5514	42858
114	5566	42838
115	5614	42784
116	5661	42726
117	5711	42691
118	5758	42628
119	5804	42564
120	5849	42496
121	5895	42428
122	5942	42372
123	5991	42324
124	6036	42258
125	6081	42183
126	6129	42131
127	6177	42081
128	6223	42022
129	6270	41965
130	6318	41915
131	6367	41870
132	6417	41832
133	6464	41778
134	6514	41743
135	6561	41685
136	6608	41630
137	6655	41573
138	6702	41515
139	6749	41459
140	6795	41400
141	6842	41342
142	6889	41290
143	6935	41228
144	6981	41167
145	7028	41110
146	7076	41061
147	7124	41014
148	7171	40960
149	7218	40904
150	7263	40839
151	7309	40778
152	7356	40727
153	7404	40677
154	7451	40622
155	7498	40570
156	7546	40521
157	7594	40471
158	7641	40418
159	7687	40358
160	7733	40301
161	7781	40252
162	7831	40216
163	7877	40155
164	7924	40104
165	7972	40052
166	8016	39988
167	8064	39937
168	8110	39881
169	8157	39828
170	8206	39783
171	8253	39729
172	8300	39679
173	8345	39616
174	8391	39557
175	8436	39498
176	8484	39449
177	8530	39393
178	8576	39336
179	8624	39289
180	8669	39229
181	8718	39183
182	8767	39142
183	8813	39084
184	8861	39037
185	8908	38986
186	8955	38932
187	9003	38889
188	9049	38832
189	9095	38777
190	9141	38721
191	9187	38666
192	9226	38580
193	9272	38525
194	9319	38473
195	9367	38425
196	9413	38370
197	9459	38316
198	9505	38260
199	9550	38202
200	9597	38150
201	9642	38092
202	9690	38047
203	9739	38001
204	9785	37948
205	9831	37892
206	9878	37842
207	9927	37802
208	9974	37750
209	10019	37691
210	10067	37644
211	10114	37595
212	10161	37543
213	10208	37494
214	10256	37448
215	10301	37390
216	10344	37325
217	10391	37277
218	10439	37229
219	10488	37184
220	10535	37136
221	10581	37081
222	10628	37031
223	10665	36946
224	10710	36890
225	10748	36811
226	10795	36763
227	10841	36707
228	10888	36658
229	10935	36608
230	10979	36550
231	11024	36494
232	11071	36445
233	11117	36392
234	11160	36332
235	11205	36275
236	11251	36223
237	11299	36178
238	11346	36129
239	11392	36074
240	11439	36028
241	11486	35978
242	11529	35916
243	11576	35868
244	11620	35809
245	11668	35763
246	11715	35715
247	11764	35672
248	11811	35624
249	11856	35569
250	11902	35517
251	11947	35462
252	11993	35411
253	12042	35368
254	12085	35307
255	12132	35259
256	12179	35211
257	12221	35147
258	12268	35099
259	12315	35051
260	12362	35002
261	12406	34945
262	12455	34903
263	12504	34860
264	12549	34808
265	12596	34758
266	12641	34703
267	12692	34667
268	12742	34627
269	12787	34574
270	12833	34522
271	12874	34459
272	12921	34410
273	12967	34359
274	13015	34313
275	13062	34264
276	13112	34224
277	13164	34189
278	13213	34147
279	13259	34095
280	13305	34045
281	13350	33992
282	13398	33945
283	13443	33892
284	13488	33840
285	13533	33787
286	13580	33739
287	13628	33693
288	13676	33646
289	13722	33596
290	13773	33557
291	13817	33502
292	13866	33458
293	13912	33408
294	13959	33361
295	14006	33312
296	14050	33258
297	14099	33215
298	14146	33166
299	14191	33113
300	14238	33066
301	14288	33023
302	14334	32974
303	14382	32927
304	14429	32879
305	14474	32827
306	14519	32774
307	14565	32726
308	14609	32670
309	14651	32612
310	14697	32562
311	14743	32511
312	14793	32469
313	14838	32416
314	14886	32372
315	14926	32309
316	14975	32265
317	15025	32224
318	15070	32172
319	15114	32118
320	15163	32075
321	15214	32035
322	15241	31944
323	15279	31880
324	15322	31822
325	15365	31767
326	15411	31718
327	15456	31666
328	15503	31618
329	15547	31567
330	15593	31517
331	15632	31453
332	15672	31391
333	15722	31350
334	15766	31298
335	15813	31251
336	15859	31200
337	15907	31155
338	15954	31108
339	16001	31060
340	16044	31006
341	16092	30961
342	16140	30916
343	16187	30868
344	16233	30819
345	16279	30771
346	16325	30722
347	16372	30675
348	16407	30604
349	16456	30561
350	16502	30513
351	16551	30470
352	16599	30423
353	16646	30377
354	16695	30333
355	16741	30285
356	16779	30222
357	16826	30174
358	16868	30118
359	16914	30070
360	16959	30020
361	17007	29973
362	17054	29926
363	17099	29877
364	17144	29827
365	17190	29777
366	17237	29731
367	17284	29684
368	17331	29636
369	17378	29590
370	17423	29540
371	17470	29492
372	17518	29448
373	17565	29401
374	17611	29352
375	17658	29305
376	17705	29258
377	17753	29212
378	17800	29166
379	17846	29117
380	17892	29068
381	17937	29018
382	17983	28970
383	18029	28922
384	18077	28876
385	18118	28820
386	18159	28763
387	18201	28709
388	18248	28662
389	18295	28616
390	18342	28569
391	18389	28521
392	18436	28475
393	18484	28429
394	18511	28352
395	18557	28305
396	18603	28256
397	18632	28182
398	18681	28138
399	18726	28089
400	18774	28045
401	18820	27997
402	18865	27947
403	18908	27894
404	18955	27847
405	19009	27811
406	19036	27735
407	19081	27686
408	19127	27639
409	19174	27592
410	19222	27547
411	19268	27500
412	19316	27454
413	19365	27411
414	19413	27365
415	19459	27318
416	19505	27270
417	19551	27222
418	19598	27176
419	19645	27129
420	19704	27099
421	19754	27056
422	19800	27009
423	19841	26954
424	19888	26907
425	19933	26858
426	19981	26813
427	20026	26764
428	20074	26718
429	20097	26640
430	20143	26593
431	20193	26550
432	20238	26501
433	20286	26456
434	20332	26409
435	20377	26360
436	20427	26317
437	20476	26273
438	20522	26225
439	20567	26177
440	20614	26130
441	20660	26082
442	20701	26028
443	20748	25982
444	20788	25927
445	20835	25881
446	20883	25836
447	20929	25787
448	20976	25741
449	21013	25682
450	21060	25636
451	21084	25563
452	21130	25514
453	21175	25466
454	21222	25420
455	21271	25377
456	21317	25329
457	21364	25282
458	21410	25235
459	21434	25162
460	21481	25116
461	21527	25068
462	21575	25023
463	21620	24975
464	21667	24929
465	21716	24885
466	21763	24838
467	21797	24777
468	21821	24706
469	21871	24663
470	21896	24593
471	21943	24546
472	21988	24498
473	22039	24457
474	22093	24419
475	22144	24377
476	22189	24329
477	22235	24282
478	22289	24244
479	22335	24196
480	22383	24151
481	22433	24108
482	22471	24053
483	22511	23999
484	22559	23954
485	22605	23907
486	22651	23860
487	22697	23813
488	22744	23767
489	22768	23698
490	22819	23656
491	22864	23608
492	22913	23564
493	22959	23516
494	23000	23465
495	23048	23420
496	23072	23351
497	23120	23306
498	23164	23257
499	23210	23210
500	23233	23140
501	23280	23095
502	23304	23026
503	23352	22981
504	23397	22933
505	23443	22887
506	23489	22840
507	23538	22796
508	23562	22729
509	23613	22687
510	23659	22641
511	23707	22596
512	23754	22550
513	23799	22503
514	23845	22456
515	23890	22409
516	23923	22349
517	23972	22306
518	23997	22240
519	24043	22194
520	24090	22148
521	24137	22102
522	24184	22057
523	24231	22011
524	24277	21965
525	24317	21913
526	24365	21868
527	24412	21823
528	24460	21778
529	24506	21731
530	24553	21686
531	24587	21629
532	24634	21583
533	24681	21538
534	24731	21495
535	24780	21451
536	24827	21406
537	24874	21360
538	24903	21300
539	24932	21238
540	24981	21194
541	25017	21140
542	25071	21100
543	25095	21036
544	25142	20990
545	25187	20943
546	25236	20899
547	25280	20851
548	25303	20786
549	25349	20740
550	25396	20695
551	25442	20648
552	25490	20604
553	25537	20559
554	25583	20513
555	25632	20469
556	25679	20423
557	25727	20379
558	25775	20334
559	25823	20290
560	25869	20243
561	25915	20197
562	25960	20150
563	26008	20105
564	26054	20059
565	26099	20012
566	26145	19966
567	26191	19920
568	26238	19874
569	26284	19828
570	26324	19777
571	26363	19726
572	26410	19680
573	26447	19628
574	26490	19579
575	26536	19533
576	26582	19487
577	26606	19425
578	26650	19378
579	26697	19332
580	26737	19282
581	26761	19220
582	26784	19158
583	26832	19113
584	26881	19069
585	26921	19019
586	26962	18970
587	27007	18923
588	27047	18873
589	27076	18816
590	27123	18770
591	27163	18720
592	27210	18675
593	27245	18622
594	27269	18561
595	27316	18516
596	27363	18471
597	27409	18425
598	27456	18380
599	27496	18331
600	27521	18271
601	27561	18221
602	27601	18171
603	27641	18122
604	27688	18077
605	27735	18032
606	27758	17972
607	27804	17926
608	27850	17881
609	27896	17835
610	27941	17789
611	27987	17743
612	28027	17694
613	28075	17649
614	28112	17598
615	28159	17553
616	28198	17504
617	28247	17460
618	28295	17416
619	28343	17372
620	28390	17326
621	28430	17277
622	28476	17232
623	28500	17173
624	28547	17128
625	28593	17083
626	28640	17038
627	28664	16979
628	28710	16934
629	28746	16883
630	28794	16838
631	28841	16793
632	28891	16750
633	28937	16705
634	28997	16667
635	29046	16623
636	29095	16580
637	29142	16535
638	29166	16477
639	29212	16431
640	29248	16381
641	29296	16336
642	29360	16301
643	29407	16256
644	29452	16210
645	29492	16161
646	29540	16117
647	29574	16065
648	29619	16019
649	29665	15973
650	29712	15928
651	29757	15882
652	29804	15838
653	29851	15792
654	29897	15747
655	29935	15697
656	29974	15648
657	30015	15600
658	30051	15550
659	30098	15505
660	30143	15459
661	30189	15414
662	30215	15358
663	30262	15313
664	30303	15265
665	30343	15217
666	30390	15172
667	30431	15124
668	30464	15072
669	30511	15027
670	30557	14982
671	30593	14932
672	30639	14887
673	30687	14842
674	30719	14790
675	30743	14734
676	30782	14686
677	30828	14641
678	30876	14597
679	30923	14552
680	30968	14506
681	31014	14461
682	31053	14412
683	31102	14369
684	31135	14317
685	31181	14272
686	31227	14227
687	31274	14182
688	31314	14134
689	31361	14090
690	31394	14039
691	31441	13994
692	31478	13944
693	31501	13889
694	31547	13844
695	31595	13800
696	31640	13754
697	31681	13707
698	31725	13661
699	31771	13616
700	31819	13571
701	31865	13526
702	31910	13481
703	31951	13433
704	31997	13388
705	32021	13334
706	32071	13291
707	32118	13246
708	32159	13199
709	32205	13154
710	32254	13110
711	32303	13066
712	32349	13021
713	32391	12974
714	32430	12926
715	32470	12879
716	32518	12834
717	32564	12789
718	32608	12743
719	32653	12698
720	32699	12653
721	32745	12608
722	32772	12555
723	32819	12511
724	32863	12465
725	32908	12420
726	32961	12377
727	33007	12332
728	33054	12287
729	33101	12242
730	33148	12198
731	33190	12151
732	33245	12109
733	33304	12069
734	33346	12022
735	33390	11977
736	33439	11932
737	33466	11881
738	33512	11835
739	33559	11791
740	33605	11745
741	33650	11700
742	33699	11656
743	33744	11611
744	33790	11565
745	33815	11513
746	33863	11469
747	33912	11425
748	33957	11379
749	33999	11333
750	34045	11288
751	34096	11244
752	34140	11198
753	34187	11154
754	34233	11108
755	34279	11063
756	34323	11017
757	34372	10973
758	34417	10928
759	34471	10885
760	34517	10840
761	34558	10793
762	34603	10748
763	34649	10703
764	34681	10653
765	34709	10603
766	34755	10557
767	34800	10512
768	34845	10467
769	34894	10423
770	34939	10377
771	34984	10332
772	35031	10287
773	35080	10243
774	35126	10197
775	35171	10152
776	35217	10107
777	35264	10062
778	35311	10017
779	35339	9967
780	35363	9916
781	35401	9869
782	35426	9817
783	35471	9772
784	35521	9728
785	35543	9677
786	35590	9632
787	35630	9585
788	35676	9540
789	35723	9496
790	35770	9451
791	35810	9404
792	35857	9360
793	35904	9315
794	35951	9270
795	36002	9226
796	36049	9181
797	36096	9137
798	36128	9088
799	36176	9044
800	36213	8996
801	36237	8946
802	36283	8901
803	36315	8852
804	36363	8808
805	36401	8761
806	36447	8716
807	36483	8669
808	36532	8625
809	36556	8575
810	36602	8530
811	36649	8485
812	36673	8435
813	36705	8387
814	36746	8341
815	36792	8296
816	36840	8251
817	36890	8207
818	36914	8158
819	36960	8113
820	36983	8063
821	37020	8016
822	37066	7971
823	37113	7927
824	37137	7877
825	37184	7833
826	37225	7787
827	37249	7737
828	37285	7690
829	37315	7642
830	37349	7595
831	37372	7546
832	37412	7500
833	37457	7455
834	37481	7406
835	37519	7360
836	37546	7311
837	37592	7267
838	37635	7222
839	37683	7177
840	37710	7129
841	37746	7083
842	37770	7034
843	37808	6988
844	37857	6944
845	37885	6896
846	37914	6848
847	37960	6804
848	38011	6760
849	38041	6713
850	38065	6664
851	38088	6616
852	38121	6569
853	38144	6521
854	38190	6476
855	38236	6432
856	38270	6385
857	38318	6341
858	38342	6293
859	38389	6249
860	38416	6202
861	38462	6157
862	38490	6110
863	38537	6066
864	38584	6021
865	38629	5977
866	38674	5932
867	38722	5888
868	38768	5844
869	38791	5796
870	38838	5752
871	38883	5707
872	38911	5660
873	38958	5616
874	39005	5572
875	39045	5527
876	39092	5482
877	39138	5438
878	39184	5394
879	39214	5347
880	39249	5301
881	39295	5257
882	39341	5212
883	39388	5168
884	39436	5124
885	39478	5079
886	39524	5035
887	39576	4991
888	39614	4946
889	39656	4901
890	39705	4857
891	39733	4810
892	39761	4764
893	39808	4719
894	39853	4675
895	39901	4631
896	39929	4585
897	39975	4540
898	40012	4495
899	40065	4451
900	40094	4405
901	40136	4360
902	40182	4316
903	40216	4270
904	40263	4226
905	40305	4181
906	40351	4137
907	40381	4091
908	40421	4046
909	40466	4002
910	40494	3956
911	40541	3911
912	40589	3867
913	40621	3822
914	40666	3777
915	40699	3732
916	40746	3688
917	40791	3643
918	40839	3599
919	40886	3555
920	40933	3511
921	40981	3466
922	41028	3422
923	41071	3378
924	41117	3333
925	41164	3289
926	41211	3245
927	41256	3200
928	41302	3156
929	41325	3110
930	41367	3065
931	41412	3021
932	41459	2977
933	41505	2932
934	41546	2888
935	41593	2843
936	41617	2798
937	41657	2753
938	41697	2708
939	41725	2663
940	41773	2619
941	41820	2574
942	41868	2530
943	41921	2486
944	41971	2442
945	42028	2399
946	42077	2354
947	42128	2310
948	42181	2266
949	42229	2222
950	42273	2178
951	42323	2133
952	42365	2089
953	42414	2045
954	42464	2000
955	42512	1956
956	42562	1912
957	42610	1868
958	42658	1823
959	42688	1778
960	42734	1734
961	42775	1689
962	42819	1645
963	42843	1599
964	42890	1555
965	42931	1511
966	42977	1466
967	43019	1422
968	43069	1377
969	43118	1333
970	43166	1289
971	43216	1244
972	43262	1200
973	43311	1156
974	43362	1111
975	43411	1067
976	43451	1022
977	43494	978
978	43540	933
979	43568	889
980	43604	844
981	43654	800
982	43697	755
983	43732	711
984	43775	666
985	43799	621
986	43825	577
987	43852	532
988	43898	488
989	43945	443
990	43975	399
991	44036	355
992	44086	310
993	44129	266
994	44179	222
995	44214	177
996	44263	133
997	44306	88
998	44346	44
999	44395	0
